document_id,title,retrieval_text_char_count,chunk_count,sections,max_body_char_count,max_text_char_count,blank_sections
ontong_youth_20250430005400210741,청년근로자 복리후생 지원,1111,7,application|eligibility|notes|overview|required_documents|screening|support_content,528,695,
ontong_youth_20260513005400213204,부산 청년 일하는 기쁨카드 지원,692,7,application|eligibility|notes|overview|required_documents|screening|support_content,483,671,
ontong_youth_20250227005400210567,초등학부모 10시출근제 도입 중소사업장 장려금 지원사업,773,6,application|eligibility|notes|overview|required_documents|support_content,375,577,screening
ontong_youth_20250903005400111594,청년근로자 사랑채움사업,1134,6,application|eligibility|notes|overview|required_documents|support_content,720,892,screening
ontong_youth_20251127005400211943,진주시 중소기업 취업청년 복지지원금 지원사업,1244,7,application|eligibility|notes|overview|required_documents|support_content,799,988,screening
ontong_youth_20250321005400210648,우수 인재 유치 및 우수경력자 인건비 지원,1230,7,application|eligibility|notes|overview|required_documents|screening|support_content,715,910,
ontong_youth_20250211005400210415,2025년 강원혁신도시 소외상권 활성화 지원(임차료 등) 사업,586,7,application|eligibility|notes|overview|required_documents|screening|support_content,360,577,
ontong_youth_20250331005400210675,청년창업 특례보증,1047,7,application|eligibility|notes|overview|required_documents|screening|support_content,355,535,
ontong_youth_20250710005400211180,글로벌 이노베이터 페스타 사업 지원,1212,10,application|eligibility|notes|overview|required_documents|screening|support_content,800,970,
ontong_youth_20250719005400211467,청년농업인 창업 인큐베이팅 지원사업,1650,8,application|eligibility|notes|overview|required_documents|screening|support_content,791,967,
ontong_youth_20250724005400111489,청년농업인 영농정착지원사업,1003,7,application|eligibility|notes|overview|required_documents|screening|support_content,529,707,
ontong_youth_20250814005400211517,(원주시) 청년 창업아카데미,1151,7,application|eligibility|notes|overview|required_documents|screening|support_content,442,608,
ontong_youth_20250822005400211521,신월지역 청년점포 및 청년기업 육성사업 참여자 추가모집 공고,645,9,application|eligibility|notes|overview|required_documents|support_content,800,983,screening
ontong_youth_20250903005400211596,우수 청년기업 지원,1803,8,application|eligibility|notes|overview|required_documents|screening|support_content,778,938,
ontong_youth_20250909005400211682,청년농업인(후계농) 영농정착 지원,1041,7,application|eligibility|notes|overview|required_documents|screening|support_content,420,590,
ontong_youth_20250909005400211683,청년농업인 종합지원(행정도우미 등),1098,7,application|eligibility|notes|overview|required_documents|screening|support_content,424,594,
ontong_youth_20251121005400211924,"양산시 소상공인 육성자금(일반자금, 청년창업 특별자금) 지원",577,7,application|eligibility|notes|overview|required_documents|screening|support_content,254,457,
ontong_youth_20260313005400212118,「2026 경북 청년CEO JUMP-UP 지원」참여기업 모집 공고,1314,7,application|eligibility|notes|overview|required_documents|screening|support_content,472,669,
ontong_youth_20260313005400212130,「2026 경북 청년CEO 심화육성 지원」 참여기업 모집 공고,1510,7,application|eligibility|notes|overview|required_documents|screening|support_content,569,764,
ontong_youth_20260325005400212265,2026년도 경북청년예비창업가 육성사업,1069,7,application|eligibility|notes|overview|required_documents|screening|support_content,357,554,
ontong_youth_20260407005400212564,2026년 G-유니콘 육성프로그램 참여기업 모집,1445,6,application|eligibility|notes|overview|required_documents|support_content,543,718,screening
ontong_youth_20260407005400212567,2026년 MICE 광주 관광기업 성장단계별 맞춤지원 프로그램 참여사 모집,920,6,application|eligibility|notes|overview|required_documents|support_content,557,753,screening
ontong_youth_20260410005400212665,2026년 기술기반 예비창업가 사업화자금지원 모집,985,6,application|eligibility|notes|overview|required_documents|support_content,358,544,screening
ontong_youth_20260413005400212689,2026 시제품 제작 프로그램(예비창업자 지원 과정) 모집,583,6,application|eligibility|notes|overview|required_documents|support_content,319,506,screening
ontong_youth_20260414005400212743,여수시 청년 소상공인 맞춤형 방문 컨설팅 지원사업,974,7,application|eligibility|notes|overview|required_documents|screening|support_content,297,495,
ontong_youth_20260427005400212880,2026년 시제품 제작 프로그램(양산 연계 지원 과정),754,6,application|eligibility|notes|overview|required_documents|support_content,322,511,screening
ontong_youth_20260427005400212882,로컬 스타트업 히어로즈(Heroes) 지원사업 초기창업기업 모집,1164,7,application|eligibility|notes|overview|required_documents|screening|support_content,523,707,
ontong_youth_20260429005400212914,제12회 광주광역시 공공데이터‧AI 활용 창업경진대회 참가자 모집,1232,7,application|eligibility|notes|overview|required_documents|screening|support_content,458,653,
ontong_youth_20260708005400213251,「공공임대주택 청년창업공간」입주기업 모집,986,6,application|eligibility|notes|overview|required_documents|support_content,448,619,screening
ontong_youth_20260709005400213253,『광주청년창업지원센터』입주스타트업(20기) 모집,920,6,application|eligibility|notes|overview|required_documents|support_content,469,650,screening
ontong_youth_20260722005400213276,「공공임대주택 청년창업공간」입주기업 모집,1001,6,application|eligibility|notes|overview|required_documents|support_content,478,649,screening
ontong_youth_20260810005400113328,산림산업 창업지원_청년 산림창업가 시너지캠프,1219,10,application|eligibility|notes|overview|required_documents|screening|support_content,800,983,
ontong_youth_20260812005400213330,「2026년 청년 창업 성장 육성 프로젝트 지원사업」 청년창업자 모집 공고,2029,7,application|eligibility|notes|overview|required_documents|screening|support_content,791,981,
ontong_youth_20260818005400213337,2027년 청년농업인 창업 스케일업(성장) 지원사업,765,6,application|eligibility|notes|overview|required_documents|support_content,320,503,screening
ontong_youth_20250102005400210027,청년농업인 영농정착지원,699,7,application|eligibility|notes|overview|required_documents|screening|support_content,327,493,
ontong_youth_20250107005400210058,지역상생 청년일자리 창출 사업,719,7,application|eligibility|notes|overview|required_documents|screening|support_content,338,528,
ontong_youth_20250331005400110677,산림산업 창업지원_청년 산림창업 마중물 지원,1570,10,application|eligibility|notes|overview|required_documents|screening|support_content,800,973,
ontong_youth_20250401005400210679,청년 융합기술 창업지원,686,7,application|eligibility|notes|overview|required_documents|screening|support_content,504,665,
ontong_youth_20250620005400111082,이공계 대학원생 청년창업 탐색지원,770,9,application|eligibility|notes|overview|required_documents|support_content,800,975,screening
ontong_youth_20250729005400211499,청년 창업점포(청년식당) 신규 입점 청년 모집,1141,7,application|eligibility|notes|overview|required_documents|screening|support_content,568,743,
ontong_youth_20250917005400211702,청년친화도시 부산진구 트라이얼스토어 운영 기업 모집,1379,10,application|eligibility|notes|overview|required_documents|screening|support_content,800,984,
ontong_youth_20251023005400211803,우리지역 스타기업 만들기 사업,1054,7,application|eligibility|notes|overview|required_documents|screening|support_content,424,603,
ontong_youth_20260619005400213242,2026년 경북 청년창업 지역정착 지원사업 신규참여자 2차 추가모집 공고,467,10,application|eligibility|notes|overview|required_documents|screening|support_content,800,1017,
ontong_youth_20250119005400210332,청년농업인 스타트업(초기창업) 지원사업,613,7,application|eligibility|notes|overview|required_documents|screening|support_content,402,579,
ontong_youth_20250119005400210333,청년농업인 창업 스케일업(성장) 지원사업,638,7,application|eligibility|notes|overview|required_documents|screening|support_content,353,531,
ontong_youth_20250527005400210879,청년 소상공인 골목경제 활성화 지원사업,954,7,application|eligibility|notes|overview|required_documents|screening|support_content,427,600,
ontong_youth_20250724005400211490,청년농업인 맞춤 지원,661,6,application|eligibility|overview|required_documents|screening|support_content,318,481,notes
ontong_youth_20250901005400211541,2025년도 경북청년예비창업가 육성사업,930,6,application|eligibility|overview|required_documents|screening|support_content,365,553,notes
ontong_youth_20250107005400110063,2025년 국가유산 산업 인턴 지원 사업,1546,10,application|eligibility|notes|overview|required_documents|screening|support_content,800,981,
ontong_youth_20250109005400210114,청년 자격시험 응시료 지원,1149,6,application|eligibility|notes|overview|required_documents|support_content,319,495,screening
ontong_youth_20250114005400210229,스마트 모빌리티 창업캠프사업,596,10,application|eligibility|notes|overview|required_documents|screening|support_content,800,970,
ontong_youth_20250220005400210475,대구광역시 청년 국가기술자격시험 응시료 지원,1492,7,application|eligibility|notes|overview|required_documents|screening|support_content,641,825,
ontong_youth_20250227005400210568,마을청년활동가 운영,1339,7,application|eligibility|notes|overview|required_documents|screening|support_content,508,697,
ontong_youth_20250307005400210600,부천 청년 사진 Dream(드림),1190,6,application|eligibility|notes|overview|required_documents|support_content,417,585,screening
ontong_youth_20250314005400210611,2025 상반기 김해시 청년 자격증 응시료 지원사업(G-PASS CARD),2106,8,application|eligibility|notes|overview|required_documents|screening|support_content,760,951,
ontong_youth_20250321005400110645,해양경찰청 청년인턴 채용,1096,10,application|eligibility|notes|overview|required_documents|screening|support_content,800,964,
ontong_youth_20250411005400210702,(2차)2025 광주 청년구직활동수당 지원사업,2308,9,application|eligibility|notes|overview|required_documents|screening|support_content,792,985,
ontong_youth_20250416005400210710,2025년 달서청년 자격증 응시료 지원사업,1550,7,application|eligibility|notes|overview|required_documents|screening|support_content,422,605,
ontong_youth_20250509005400210801,청년 자격증 응시료 지원사업,1252,7,application|eligibility|notes|overview|required_documents|screening|support_content,458,631,
ontong_youth_20250509005400210803,공공기관 맞춤형 취업지원사업,636,7,application|eligibility|notes|overview|required_documents|screening|support_content,310,478,
ontong_youth_20250518005400110849,맞춤형화장품조제관리사 자격 역량강화,655,10,application|eligibility|notes|overview|required_documents|screening|support_content,800,973,
ontong_youth_20250529005400110881,산림산업 창업지원_청년 산림인 성장지원,808,10,application|eligibility|notes|overview|required_documents|screening|support_content,800,972,
ontong_youth_20250612005400110914,고교 취업연계 장려금,1083,10,application|eligibility|notes|overview|required_documents|screening|support_content,800,962,
ontong_youth_20250618005400211047,강원형 미래인력양성,804,7,application|eligibility|notes|overview|required_documents|screening|support_content,572,737,
