document_id,title,retrieval_text_char_count,chunk_count,sections,max_body_char_count,max_text_char_count,blank_fields
ontong_youth_20250430005400210741,청년근로자 복리후생 지원,1111,23,application_method|application_period|eligibility|notes|overview|required_documents|screening|support_content,196,416,operating_agency|reference_url_2
ontong_youth_20260513005400213204,부산 청년 일하는 기쁨카드 지원,692,24,application_method|application_period|eligibility|notes|overview|required_documents|screening|support_content,121,353,reference_url_2
ontong_youth_20250227005400210567,초등학부모 10시출근제 도입 중소사업장 장려금 지원사업,773,17,application_method|application_period|eligibility|notes|overview|required_documents|support_content,177,432,operating_agency|participation_target|additional_eligibility|income_note|screening_method|notes|reference_url_1|reference_url_2
ontong_youth_20250903005400111594,청년근로자 사랑채움사업,1134,19,application_method|application_period|eligibility|notes|overview|required_documents|support_content,499,721,operating_agency|additional_eligibility|income_note|screening_method|notes|reference_url_2
ontong_youth_20251127005400211943,진주시 중소기업 취업청년 복지지원금 지원사업,1244,22,application_method|application_period|eligibility|notes|overview|required_documents|support_content,331,570,operating_agency|screening_method|notes
ontong_youth_20250321005400210648,우수 인재 유치 및 우수경력자 인건비 지원,1230,20,application_method|application_period|eligibility|notes|overview|required_documents|screening|support_content,259,504,operating_agency|income_note|notes|reference_url_1|reference_url_2
ontong_youth_20250211005400210415,2025년 강원혁신도시 소외상권 활성화 지원(임차료 등) 사업,586,20,application_method|application_period|eligibility|notes|overview|required_documents|screening|support_content,148,409,operating_agency|additional_eligibility|notes|reference_url_1|reference_url_2
ontong_youth_20250331005400210675,청년창업 특례보증,1047,19,application_method|application_period|eligibility|notes|overview|required_documents|screening|support_content,216,449,operating_agency|participation_target|income_note|notes|reference_url_1|reference_url_2
ontong_youth_20250710005400211180,글로벌 이노베이터 페스타 사업 지원,1212,23,application_method|application_period|eligibility|notes|overview|required_documents|screening|support_content,800,1012,additional_eligibility|income_note|notes|reference_url_2
ontong_youth_20250719005400211467,청년농업인 창업 인큐베이팅 지원사업,1650,23,application_method|application_period|eligibility|notes|overview|required_documents|screening|support_content,774,990,additional_eligibility|notes|reference_url_2
ontong_youth_20250724005400111489,청년농업인 영농정착지원사업,1003,18,application_method|application_period|eligibility|notes|overview|required_documents|screening|support_content,512,730,operating_agency|participation_target|additional_eligibility|income_note|notes|reference_url_1|reference_url_2
ontong_youth_20250814005400211517,(원주시) 청년 창업아카데미,1151,20,application_method|application_period|eligibility|notes|overview|required_documents|screening|support_content,200,419,operating_agency|income_note|notes|reference_url_1|reference_url_2
