group,value,count
lclsfNm,일자리,1010
lclsfNm,복지문화,369
lclsfNm,금융･복지･문화,287
lclsfNm,주거,280
lclsfNm,참여권리,188
lclsfNm,참여･기반,175
lclsfNm,교육,160
lclsfNm,교육･직업훈련,153
lclsfNm,"일자리,교육",50
lclsfNm,"참여권리,참여권리",20
lclsfNm,"일자리,일자리",19
lclsfNm,"교육･직업훈련,교육･직업훈련",6
lclsfNm,"교육,교육",4
lclsfNm,"주거,주거",2
lclsfNm,"금융･복지･문화,금융･복지･문화,금융･복지･문화,금융･복지･문화",1
lclsfNm,"금융･복지･문화,금융･복지･문화",1
lclsfNm,"참여･기반,참여･기반",1
lclsfNm,"일자리,일자리,일자리",1
lclsfNm,,1
mclsfNm,취업,634
mclsfNm,창업,324
mclsfNm,취약계층 및 금융지원,294
mclsfNm,청년참여,223
mclsfNm,미래역량강화,216
mclsfNm,주택 및 거주지,136
mclsfNm,전월세 및 주거급여 지원,135
mclsfNm,문화활동 및 생활지원,112
mclsfNm,건강,98
mclsfNm,문화활동,86
mclsfNm,정책인프라구축,78
mclsfNm,교육비지원,72
mclsfNm,예술인지원,66
mclsfNm,"취업,미래역량강화",50
mclsfNm,재직자,48
mclsfNm,청년국제교류,46
mclsfNm,온·오프라인교육,21
mclsfNm,권익보호,20
mclsfNm,"청년참여,정책인프라구축",20
mclsfNm,기숙사,9
mclsfNm,"취업,취업",9
mclsfNm,"온·오프라인교육 ,미래역량강화",6
mclsfNm,"취업,창업",5
mclsfNm,"미래역량강화,온라인교육",4
mclsfNm,온라인교육,4
mclsfNm,"창업,취업",2
mclsfNm,"주택 및 거주지,전월세 및 주거급여 지원",2
mclsfNm,"재직자,권익보호",2
mclsfNm,"예술인지원,문화활동 및 생활지원,건강,취약계층 및 금융지원",1
mclsfNm,"예술인지원,문화활동 및 생활지원",1
mclsfNm,"정책인프라구축,청년참여",1
mclsfNm,"재직자,취업",1
mclsfNm,"취업,재직자,취업",1
mclsfNm,,1
plcyKywdNm,교육지원,906
plcyKywdNm,보조금,756
plcyKywdNm,맞춤형상담서비스,372
plcyKywdNm,주거지원,235
plcyKywdNm,장기미취업청년,234
plcyKywdNm,인턴,219
plcyKywdNm,중소기업,205
plcyKywdNm,바우처,143
plcyKywdNm,벤처,134
plcyKywdNm,해외진출,76
plcyKywdNm,대출,58
plcyKywdNm,출산,58
plcyKywdNm,금리혜택,56
plcyKywdNm,육아,55
plcyKywdNm,청년가장,36
plcyKywdNm,공공임대주택,25
plcyKywdNm,신용회복,13
