chunking,retrieval,chunk_count,chunks_per_document_avg,gold_chunk_count_avg,chunk_hit@1,chunk_hit@3,chunk_hit@5,chunk_hit@10,chunk_recall@5,chunk_recall@10,chunk_mrr,latency_ms
300/50,BM25,1742,4.355,4.915,0.702128,0.787234,0.829787,0.914894,0.344504,0.437234,0.763501,3.511468
300/50,Char TF-IDF,1742,4.355,4.915,0.723404,0.829787,0.87234,0.93617,0.373936,0.456586,0.783038,3.267155
300/50,Hybrid RRF,1742,4.355,4.915,0.680851,0.851064,0.93617,0.93617,0.385638,0.475177,0.774468,9.670296
300/50,Chroma SVD,1742,4.355,4.915,0.638298,0.765957,0.787234,0.893617,0.351596,0.464742,0.720863,92.783904
500/50,BM25,1060,2.65,2.979,0.702128,0.808511,0.851064,0.957447,0.478605,0.590012,0.768693,2.007583
500/50,Char TF-IDF,1060,2.65,2.979,0.680851,0.829787,0.914894,0.93617,0.516135,0.584102,0.769858,2.289615
500/50,Hybrid RRF,1060,2.65,2.979,0.702128,0.829787,0.914894,0.957447,0.51052,0.603605,0.781206,4.746543
500/50,Chroma SVD,1060,2.65,2.979,0.659574,0.787234,0.893617,1.0,0.522636,0.612589,0.752533,94.502183
700/100,BM25,797,1.992,2.213,0.702128,0.808511,0.851064,0.957447,0.599291,0.737082,0.770584,2.232391
700/100,Char TF-IDF,797,1.992,2.213,0.659574,0.829787,0.93617,0.93617,0.651216,0.728217,0.763121,2.526534
700/100,Hybrid RRF,797,1.992,2.213,0.680851,0.851064,0.914894,0.93617,0.648936,0.731763,0.777305,6.125549
700/100,Chroma SVD,797,1.992,2.213,0.659574,0.765957,0.893617,0.914894,0.660081,0.740628,0.737825,95.33353
