metric,value
document_count,400
qrel_count,50
eval_question_count,47
chunk_count,797
duplicate_document_id_count,0
duplicate_chunk_id_count,0
blank_document_id_count,0
blank_retrieval_text_count,0
retrieval_text_min_length,297
retrieval_text_avg_length,1013.855
retrieval_text_max_length,3617
chunk_min_length,106
chunk_avg_length,558.647
chunk_max_length,700
chunks_per_document_min,1
chunks_per_document_avg,1.992
chunks_per_document_max,6
gold_chunk_count_min,1
gold_chunk_count_avg,2.213
gold_chunk_count_max,7
questions_without_qrels_count,0
questions_without_gold_chunks_count,0
missing_qrel_document_id_count,0
qrel_query_ids_without_eval_question_count,0
