method,query_id,question_type,primary_category,primary_mclsf,gold_document_count,gold_chunk_count,retrieved_count,latency_ms,chunk_hit@1,chunk_hit@3,chunk_hit@5,chunk_hit@10,chunk_recall@5,chunk_recall@10,chunk_mrr,document_hit@1,document_hit@3,document_hit@5,document_hit@10,document_mrr
Chroma SVD,oy_eval_repair_q0007,specific_policy_search,일자리,창업,1,2,10,173.58309996780008,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_repair_q0009,eligibility,일자리,취업,1,3,10,89.25790002103895,0.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1.0,1.0,1.0,0.3333333333333333
Chroma SVD,oy_eval_repair_q0012,application_period,일자리,취업,1,3,10,93.9603999722749,0.0,0.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.2,0.0,0.0,1.0,1.0,0.2
Chroma SVD,oy_eval_repair_q0021,application_method,일자리,창업,1,2,10,91.31410002009943,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_repair_q0024,specific_policy_search,일자리,취업,1,2,10,90.93060001032427,0.0,0.0,1.0,1.0,0.5,0.5,0.25,0.0,0.0,1.0,1.0,0.25
Chroma SVD,oy_eval_repair_q0027,application_method,일자리,창업,1,3,10,91.7849000543356,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_repair_q0030,support_content,일자리,취업,1,2,10,84.34539998415858,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_repair_q0032,application_method,일자리,취업,1,2,10,94.8363000061363,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_repair_q0033,application_period,일자리,창업,1,3,10,90.71259998017922,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_repair_q0034,specific_policy_search,일자리,취업,1,2,10,102.84340003272519,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_repair_q0035,support_content,일자리,창업,1,2,10,100.92449997318909,0.0,0.0,1.0,1.0,0.5,0.5,0.25,0.0,0.0,1.0,1.0,0.25
Chroma SVD,oy_eval_repair_q0037,support_content,복지문화,문화활동,2,7,10,95.80670000286773,1.0,1.0,1.0,1.0,0.2857142857142857,0.42857142857142855,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_repair_q0038,eligibility,복지문화,건강,2,7,10,107.2654000017792,1.0,1.0,1.0,1.0,0.5714285714285714,0.7142857142857143,1.0,1.0,1.0,1.0,1.0,1.0
