method,query_id,question_type,primary_category,primary_mclsf,gold_document_count,gold_chunk_count,retrieved_count,latency_ms,chunk_hit@1,chunk_hit@3,chunk_hit@5,chunk_hit@10,chunk_recall@5,chunk_recall@10,chunk_mrr,document_hit@1,document_hit@3,document_hit@5,document_hit@10,document_mrr
Chroma SVD,oy_eval_repair_q0007,specific_policy_search,일자리,창업,1,15,10,870.8350000088103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chroma SVD,oy_eval_repair_q0009,eligibility,일자리,취업,1,14,10,72.79639999615029,1.0,1.0,1.0,1.0,0.21428571428571427,0.5,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_repair_q0012,application_period,일자리,취업,1,12,10,75.11739997426048,1.0,1.0,1.0,1.0,0.08333333333333333,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_repair_q0021,application_method,일자리,창업,1,16,10,59.943499974906445,1.0,1.0,1.0,1.0,0.25,0.375,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_repair_q0024,specific_policy_search,일자리,취업,1,14,10,70.16289996681735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chroma SVD,oy_eval_repair_q0027,application_method,일자리,창업,1,16,10,73.1287999660708,1.0,1.0,1.0,1.0,0.0625,0.125,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_repair_q0030,support_content,일자리,취업,1,14,10,68.42209998285398,1.0,1.0,1.0,1.0,0.14285714285714285,0.14285714285714285,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_repair_q0032,application_method,일자리,취업,1,16,10,72.59980001254007,1.0,1.0,1.0,1.0,0.25,0.4375,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_repair_q0033,application_period,일자리,창업,1,15,10,70.40830003097653,1.0,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_repair_q0034,specific_policy_search,일자리,취업,1,15,10,73.77879996784031,1.0,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_repair_q0035,support_content,일자리,창업,1,13,10,82.59160001762211,1.0,1.0,1.0,1.0,0.38461538461538464,0.7692307692307693,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_repair_q0037,support_content,복지문화,문화활동,2,29,10,75.89839998399839,1.0,1.0,1.0,1.0,0.1724137931034483,0.3448275862068966,1.0,1.0,1.0,1.0,1.0,1.0
