metric,value
document_count,400
qrel_count,50
eval_question_count,47
chunk_count,1060
duplicate_document_id_count,0
duplicate_chunk_id_count,0
blank_document_id_count,0
blank_retrieval_text_count,0
retrieval_text_min_length,297
retrieval_text_avg_length,1013.855
retrieval_text_max_length,3617
chunk_min_length,51
chunk_avg_length,413.719
chunk_max_length,500
chunks_per_document_min,1
chunks_per_document_avg,2.65
chunks_per_document_max,8
gold_chunk_count_min,1
gold_chunk_count_avg,2.979
gold_chunk_count_max,9
questions_without_qrels_count,0
questions_without_gold_chunks_count,0
missing_qrel_document_id_count,0
qrel_query_ids_without_eval_question_count,0
