method,query_id,question_type,primary_category,primary_mclsf,gold_document_count,gold_chunk_count,retrieved_count,latency_ms,chunk_hit@1,chunk_hit@3,chunk_hit@5,chunk_hit@10,chunk_recall@5,chunk_recall@10,chunk_mrr,document_hit@1,document_hit@3,document_hit@5,document_hit@10,document_mrr
Chroma SVD,oy_eval_repair_q0007,specific_policy_search,일자리,창업,1,3,10,161.04289999930188,1.0,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_repair_q0009,eligibility,일자리,취업,1,4,10,96.22920001856983,0.0,1.0,1.0,1.0,0.25,0.25,0.5,0.0,1.0,1.0,1.0,0.5
Chroma SVD,oy_eval_repair_q0012,application_period,일자리,취업,1,3,10,87.63600001111627,0.0,0.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.2,0.0,0.0,1.0,1.0,0.2
Chroma SVD,oy_eval_repair_q0021,application_method,일자리,창업,1,3,10,93.82079995702952,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_repair_q0024,specific_policy_search,일자리,취업,1,3,10,92.42950001498684,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,1.0,0.16666666666666666
Chroma SVD,oy_eval_repair_q0027,application_method,일자리,창업,1,3,10,97.50229999190196,1.0,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_repair_q0030,support_content,일자리,취업,1,2,10,94.74149998277426,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_repair_q0032,application_method,일자리,취업,1,3,10,99.62460002861917,0.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,1.0,1.0,1.0,0.3333333333333333
Chroma SVD,oy_eval_repair_q0033,application_period,일자리,창업,1,4,10,97.70079998997971,1.0,1.0,1.0,1.0,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_repair_q0034,specific_policy_search,일자리,취업,1,2,10,97.1453000092879,0.0,1.0,1.0,1.0,0.5,0.5,0.5,0.0,1.0,1.0,1.0,0.5
Chroma SVD,oy_eval_repair_q0035,support_content,일자리,창업,1,2,10,93.31660001771525,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_repair_q0037,support_content,복지문화,문화활동,2,9,10,100.8103999774903,1.0,1.0,1.0,1.0,0.2222222222222222,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_repair_q0038,eligibility,복지문화,건강,2,8,10,96.30939998896793,1.0,1.0,1.0,1.0,0.375,0.625,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_repair_q0039,application_method,복지문화,예술인지원,1,2,10,92.64970000367612,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_repair_q0042,specific_policy_search,복지문화,건강,1,2,10,93.38520001620054,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_repair_q0043,support_content,복지문화,예술인지원,1,3,10,94.09410000080243,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_repair_q0045,required_documents,복지문화,문화활동,1,2,10,95.17990000313148,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_repair_q0047,specific_policy_search,복지문화,예술인지원,1,1,10,95.8595999982208,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_repair_q0054,application_method,복지문화,건강,1,1,10,94.68159999232739,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_repair_q0056,specific_policy_search,주거,주택 및 거주지,1,2,10,89.64580000611022,0.0,0.0,0.0,1.0,0.0,0.5,0.1,0.0,0.0,0.0,1.0,0.1
Chroma SVD,oy_eval_repair_q0066,eligibility,주거,전월세 및 주거급여 지원,1,2,10,98.58119999989867,0.0,0.0,0.0,1.0,0.0,0.5,0.14285714285714285,0.0,0.0,0.0,1.0,0.14285714285714285
Chroma SVD,oy_eval_repair_q0072,support_content,교육,교육비지원,1,3,10,98.49950001807883,0.0,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,1.0,1.0,1.0,0.3333333333333333
Chroma SVD,oy_eval_repair_q0073,eligibility,교육,온라인교육,1,6,10,89.73009994952008,1.0,1.0,1.0,1.0,0.6666666666666666,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_repair_q0074,application_method,교육,미래역량강화,1,2,10,92.9316999972798,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_repair_q0075,application_period,교육,온라인교육,1,3,10,88.93829997396097,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_repair_q0076,required_documents,교육,미래역량강화,1,3,10,89.21569999074563,0.0,0.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.2,0.0,0.0,1.0,1.0,0.2
Chroma SVD,oy_eval_repair_q0077,specific_policy_search,교육,교육비지원,1,3,10,96.684499992989,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_repair_q0080,application_method,교육,교육비지원,2,6,10,88.82280002580956,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_repair_q0082,required_documents,교육,미래역량강화,1,5,10,86.02659997995943,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_repair_q0085,application_method,교육,미래역량강화,1,3,10,85.48539999173954,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_repair_q0089,application_period,참여권리,권익보호,1,1,10,89.47229996556416,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_repair_q0099,application_period,참여권리,정책인프라구축,1,2,10,92.08139998372644,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_repair_q0100,required_documents,참여권리,청년국제교류,1,2,10,89.85029999166727,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_v2r_q0002,support_content,일자리,창업,1,2,10,92.59960002964363,0.0,0.0,1.0,1.0,0.5,0.5,0.25,0.0,0.0,1.0,1.0,0.25
Chroma SVD,oy_eval_v2r_q0003,eligibility,일자리,재직자,1,3,10,92.65599999343976,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_v2r_q0004,application_method,일자리,창업,1,3,10,87.69310003845021,0.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,0.0,1.0,1.0,1.0,0.5
Chroma SVD,oy_eval_v2r_q0005,required_documents,일자리,재직자,1,2,10,85.31009999569505,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_v2r_q0015,eligibility,일자리,창업,1,3,10,89.80020001763478,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_v2r_q0017,application_period,일자리,창업,1,2,10,86.28230000613257,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_v2r_q0025,support_content,일자리,창업,1,2,10,85.82929999101907,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_v2r_q0026,eligibility,일자리,취업,1,2,10,81.87619998352602,0.0,0.0,1.0,1.0,0.5,0.5,0.2,0.0,0.0,1.0,1.0,0.2
Chroma SVD,oy_eval_v2r_q0064,specific_policy_search,주거,기숙사,1,2,10,87.4828000087291,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_v2r_q0078,support_content,교육,온라인교육,1,3,10,115.22450001211837,0.0,0.0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.2,0.0,0.0,1.0,1.0,0.2
Chroma SVD,oy_eval_v2r_q0086,specific_policy_search,참여권리,청년참여,1,4,10,100.98410001955926,0.0,0.0,0.0,1.0,0.0,0.25,0.14285714285714285,0.0,0.0,0.0,1.0,0.14285714285714285
Chroma SVD,oy_eval_v2r_q0090,required_documents,참여권리,청년참여,1,4,10,97.30030002538115,0.0,0.0,0.0,1.0,0.0,0.25,0.1,0.0,0.0,0.0,1.0,0.1
Chroma SVD,oy_eval_v2r_q0094,application_period,참여권리,청년참여,1,3,10,93.59410003526136,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_v2r_q0098,application_method,참여권리,청년참여,1,2,10,94.84500001417473,0.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,0.5
