metric,value
document_count,400
duplicate_document_id_count,0
blank_document_id_count,0
blank_title_count,0
blank_retrieval_text_count,0
retrieval_text_min_length,297
retrieval_text_avg_length,1013.855
retrieval_text_max_length,3617
primary_category.일자리,140
primary_category.복지문화,80
primary_category.주거,60
primary_category.교육,60
primary_category.참여권리,60
primary_mclsf.취업,92
primary_mclsf.창업,42
primary_mclsf.미래역량강화,42
primary_mclsf.청년참여,38
primary_mclsf.취약계층 및 금융지원,35
primary_mclsf.주택 및 거주지,29
primary_mclsf.전월세 및 주거급여 지원,28
primary_mclsf.문화활동,24
primary_mclsf.건강,13
primary_mclsf.교육비지원,13
primary_mclsf.정책인프라구축,12
primary_mclsf.예술인지원,8
primary_mclsf.청년국제교류,7
primary_mclsf.재직자,6
primary_mclsf.온라인교육,5
primary_mclsf.기숙사,3
primary_mclsf.권익보호,3
