field,raw_value,count
lclsfNm,일자리,1010
lclsfNm,복지문화,369
lclsfNm,금융･복지･문화,287
lclsfNm,주거,280
lclsfNm,참여권리,188
lclsfNm,참여･기반,175
lclsfNm,교육,160
lclsfNm,교육･직업훈련,153
lclsfNm,"일자리,교육",50
lclsfNm,"참여권리,참여권리",20
lclsfNm,"일자리,일자리",19
lclsfNm,"교육･직업훈련,교육･직업훈련",6
lclsfNm,"교육,교육",4
lclsfNm,"주거,주거",2
lclsfNm,"금융･복지･문화,금융･복지･문화,금융･복지･문화,금융･복지･문화",1
lclsfNm,"금융･복지･문화,금융･복지･문화",1
lclsfNm,"참여･기반,참여･기반",1
lclsfNm,"일자리,일자리,일자리",1
lclsfNm,,1
mclsfNm,취업,634
mclsfNm,창업,324
mclsfNm,취약계층 및 금융지원,294
mclsfNm,청년참여,223
mclsfNm,미래역량강화,216
mclsfNm,주택 및 거주지,136
mclsfNm,전월세 및 주거급여 지원,135
mclsfNm,문화활동 및 생활지원,112
mclsfNm,건강,98
mclsfNm,문화활동,86
mclsfNm,정책인프라구축,78
mclsfNm,교육비지원,72
mclsfNm,예술인지원,66
mclsfNm,"취업,미래역량강화",50
mclsfNm,재직자,48
mclsfNm,청년국제교류,46
mclsfNm,온·오프라인교육,21
mclsfNm,권익보호,20
mclsfNm,"청년참여,정책인프라구축",20
mclsfNm,기숙사,9
mclsfNm,"취업,취업",9
mclsfNm,"온·오프라인교육 ,미래역량강화",6
mclsfNm,"취업,창업",5
mclsfNm,"미래역량강화,온라인교육",4
mclsfNm,온라인교육,4
mclsfNm,"창업,취업",2
mclsfNm,"주택 및 거주지,전월세 및 주거급여 지원",2
mclsfNm,"재직자,권익보호",2
mclsfNm,"예술인지원,문화활동 및 생활지원,건강,취약계층 및 금융지원",1
mclsfNm,"예술인지원,문화활동 및 생활지원",1
mclsfNm,"정책인프라구축,청년참여",1
mclsfNm,"재직자,취업",1
mclsfNm,"취업,재직자,취업",1
mclsfNm,,1
plcyKywdNm,교육지원,655
plcyKywdNm,보조금,482
plcyKywdNm,맞춤형상담서비스,210
plcyKywdNm,주거지원,169
plcyKywdNm,인턴,156
plcyKywdNm,장기미취업청년,97
plcyKywdNm,바우처,79
plcyKywdNm,해외진출,47
plcyKywdNm,중소기업,46
plcyKywdNm,"교육지원,맞춤형상담서비스",36
plcyKywdNm,"맞춤형상담서비스,교육지원",29
plcyKywdNm,"보조금,장기미취업청년",28
plcyKywdNm,벤처,28
plcyKywdNm,"벤처,중소기업",26
plcyKywdNm,"중소기업,벤처",26
plcyKywdNm,"보조금,교육지원",25
plcyKywdNm,"장기미취업청년,보조금",23
plcyKywdNm,"교육지원,보조금",23
plcyKywdNm,대출,21
plcyKywdNm,금리혜택,19
plcyKywdNm,청년가장,19
plcyKywdNm,"주거지원,보조금",18
plcyKywdNm,공공임대주택,16
plcyKywdNm,"장기미취업청년,교육지원",14
plcyKywdNm,"출산,육아",14
plcyKywdNm,"육아,출산",14
plcyKywdNm,"보조금,주거지원",13
plcyKywdNm,"보조금,중소기업",13
plcyKywdNm,"중소기업,보조금",13
plcyKywdNm,"보조금,바우처",10
plcyKywdNm,"장기미취업청년,맞춤형상담서비스",8
plcyKywdNm,"바우처,보조금",8
plcyKywdNm,출산,8
plcyKywdNm,"인턴,장기미취업청년",7
plcyKywdNm,육아,7
plcyKywdNm,신용회복,7
plcyKywdNm,"대출,금리혜택",6
plcyKywdNm,"인턴,교육지원",6
plcyKywdNm,"보조금,맞춤형상담서비스",6
plcyKywdNm,"교육지원,장기미취업청년",6
plcyKywdNm,"맞춤형상담서비스,장기미취업청년",5
plcyKywdNm,"보조금,해외진출",5
plcyKywdNm,"교육지원,인턴",5
plcyKywdNm,"맞춤형상담서비스,보조금",5
plcyKywdNm,"교육지원,중소기업",5
plcyKywdNm,"금리혜택,보조금",5
plcyKywdNm,"주거지원,교육지원",5
plcyKywdNm,"보조금,중소기업,벤처",5
plcyKywdNm,"맞춤형상담서비스,바우처",5
plcyKywdNm,"교육지원,장기미취업청년,맞춤형상담서비스",4
plcyKywdNm,"중소기업,벤처,보조금",4
plcyKywdNm,"장기미취업청년,교육지원,맞춤형상담서비스",4
plcyKywdNm,"해외진출,교육지원",4
plcyKywdNm,"중소기업,맞춤형상담서비스",4
plcyKywdNm,"교육지원,해외진출",3
plcyKywdNm,"공공임대주택,주거지원",3
plcyKywdNm,"교육지원,바우처",3
plcyKywdNm,"벤처,교육지원",3
plcyKywdNm,"보조금,벤처,중소기업",3
plcyKywdNm,"주거지원,대출",3
plcyKywdNm,"신용회복,교육지원",3
plcyKywdNm,"인턴,해외진출",3
plcyKywdNm,"바우처,교육지원",3
plcyKywdNm,"바우처,장기미취업청년",3
plcyKywdNm,"중소기업,교육지원",3
plcyKywdNm,"벤처,중소기업,보조금",3
plcyKywdNm,"중소기업,바우처",2
plcyKywdNm,"맞춤형상담서비스,보조금,교육지원",2
plcyKywdNm,"보조금,교육지원,맞춤형상담서비스",2
plcyKywdNm,"보조금,대출",2
plcyKywdNm,"신용회복,대출",2
plcyKywdNm,"바우처,맞춤형상담서비스",2
plcyKywdNm,"맞춤형상담서비스,교육지원,보조금",2
plcyKywdNm,"해외진출,인턴",2
plcyKywdNm,"청년가장,맞춤형상담서비스",2
plcyKywdNm,"인턴,보조금",2
plcyKywdNm,"주거지원,공공임대주택",2
plcyKywdNm,"육아,보조금",2
plcyKywdNm,"주거지원,교육지원,맞춤형상담서비스",2
plcyKywdNm,"벤처,보조금",2
plcyKywdNm,"장기미취업청년,인턴",2
plcyKywdNm,"맞춤형상담서비스,인턴",2
plcyKywdNm,"금리혜택,대출",2
plcyKywdNm,"대출,중소기업",2
plcyKywdNm,"중소기업,금리혜택",2
plcyKywdNm,"보조금,금리혜택",2
plcyKywdNm,"대출,보조금",2
plcyKywdNm,"맞춤형상담서비스,금리혜택",2
plcyKywdNm,,2
plcyKywdNm,"벤처,맞춤형상담서비스",1
plcyKywdNm,"주거지원,교육지원,인턴,바우처",1
plcyKywdNm,"중소기업,교육지원,보조금",1
plcyKywdNm,"인턴,교육지원,벤처",1
plcyKywdNm,"금리혜택,대출,주거지원",1
plcyKywdNm,"바우처,교육지원,맞춤형상담서비스",1
plcyKywdNm,"대출,보조금,주거지원",1
plcyKywdNm,"중소기업,벤처,인턴,교육지원",1
plcyKywdNm,"바우처,맞춤형상담서비스,보조금",1
plcyKywdNm,"해외진출,맞춤형상담서비스,교육지원",1
plcyKywdNm,"주거지원,보조금,청년가장",1
plcyKywdNm,"육아,출산,청년가장,보조금,맞춤형상담서비스",1
plcyKywdNm,"청년가장,보조금,바우처,맞춤형상담서비스",1
plcyKywdNm,"교육지원,주거지원,중소기업,벤처",1
plcyKywdNm,"교육지원,중소기업,벤처,인턴",1
plcyKywdNm,"출산,보조금,육아",1
plcyKywdNm,"바우처,주거지원",1
plcyKywdNm,"대출,교육지원",1
plcyKywdNm,"중소기업,장기미취업청년,교육지원,인턴",1
plcyKywdNm,"중소기업,장기미취업청년,인턴",1
plcyKywdNm,"장기미취업청년,맞춤형상담서비스,교육지원",1
plcyKywdNm,"주거지원,보조금,육아,출산",1
