field,token_type,value,normalized_value,count
lclsfNm,raw,일자리,일자리,1101
lclsfNm,raw,복지문화,복지문화,369
lclsfNm,raw,금융･복지･문화,복지문화,293
lclsfNm,raw,주거,주거,284
lclsfNm,raw,참여권리,참여권리,228
lclsfNm,raw,교육,교육,218
lclsfNm,raw,참여･기반,참여권리,177
lclsfNm,raw,교육･직업훈련,교육,165
lclsfNm,raw,,,1
lclsfNm,normalized,일자리,일자리,1080
lclsfNm,normalized,복지문화,복지문화,658
lclsfNm,normalized,참여권리,참여권리,384
lclsfNm,normalized,교육,교육,373
lclsfNm,normalized,주거,주거,282
lclsfNm,normalized,UNKNOWN,UNKNOWN,1
mclsfNm,raw,취업,취업,712
mclsfNm,raw,창업,창업,331
mclsfNm,raw,취약계층 및 금융지원,취약계층 및 금융지원,295
mclsfNm,raw,미래역량강화,미래역량강화,276
mclsfNm,raw,청년참여,청년참여,244
mclsfNm,raw,주택 및 거주지,주택 및 거주지,138
mclsfNm,raw,전월세 및 주거급여 지원,전월세 및 주거급여 지원,137
mclsfNm,raw,문화활동 및 생활지원,문화활동,114
mclsfNm,raw,건강,건강,99
mclsfNm,raw,정책인프라구축,정책인프라구축,99
mclsfNm,raw,문화활동,문화활동,86
mclsfNm,raw,교육비지원,교육비지원,72
mclsfNm,raw,예술인지원,예술인지원,68
mclsfNm,raw,재직자,재직자,52
mclsfNm,raw,청년국제교류,청년국제교류,46
mclsfNm,raw,온·오프라인교육,온라인교육,27
mclsfNm,raw,권익보호,권익보호,22
mclsfNm,raw,기숙사,기숙사,9
mclsfNm,raw,온라인교육,온라인교육,8
mclsfNm,raw,,,1
mclsfNm,normalized,취업,취업,702
mclsfNm,normalized,창업,창업,331
mclsfNm,normalized,취약계층 및 금융지원,취약계층 및 금융지원,295
mclsfNm,normalized,미래역량강화,미래역량강화,276
mclsfNm,normalized,청년참여,청년참여,244
mclsfNm,normalized,문화활동,문화활동,200
mclsfNm,normalized,주택 및 거주지,주택 및 거주지,138
mclsfNm,normalized,전월세 및 주거급여 지원,전월세 및 주거급여 지원,137
mclsfNm,normalized,건강,건강,99
mclsfNm,normalized,정책인프라구축,정책인프라구축,99
mclsfNm,normalized,교육비지원,교육비지원,72
mclsfNm,normalized,예술인지원,예술인지원,68
mclsfNm,normalized,재직자,재직자,52
mclsfNm,normalized,청년국제교류,청년국제교류,46
mclsfNm,normalized,온라인교육,온라인교육,35
mclsfNm,normalized,권익보호,권익보호,22
mclsfNm,normalized,기숙사,기숙사,9
mclsfNm,normalized,UNKNOWN,UNKNOWN,1
plcyKywdNm,raw,교육지원,교육지원,906
plcyKywdNm,raw,보조금,보조금,756
plcyKywdNm,raw,맞춤형상담서비스,맞춤형상담서비스,372
plcyKywdNm,raw,주거지원,주거지원,235
plcyKywdNm,raw,장기미취업청년,장기미취업청년,234
plcyKywdNm,raw,인턴,인턴,219
plcyKywdNm,raw,중소기업,중소기업,205
plcyKywdNm,raw,바우처,바우처,143
plcyKywdNm,raw,벤처,벤처,134
plcyKywdNm,raw,해외진출,해외진출,76
plcyKywdNm,raw,대출,대출,58
plcyKywdNm,raw,출산,출산,58
plcyKywdNm,raw,금리혜택,금리혜택,56
plcyKywdNm,raw,육아,육아,55
plcyKywdNm,raw,청년가장,청년가장,36
plcyKywdNm,raw,공공임대주택,공공임대주택,25
plcyKywdNm,raw,신용회복,신용회복,13
plcyKywdNm,raw,,,2
plcyKywdNm,normalized,교육지원,교육지원,906
plcyKywdNm,normalized,보조금,보조금,756
plcyKywdNm,normalized,맞춤형상담서비스,맞춤형상담서비스,372
plcyKywdNm,normalized,주거지원,주거지원,235
plcyKywdNm,normalized,장기미취업청년,장기미취업청년,234
plcyKywdNm,normalized,인턴,인턴,219
plcyKywdNm,normalized,중소기업,중소기업,205
plcyKywdNm,normalized,바우처,바우처,143
plcyKywdNm,normalized,벤처,벤처,134
plcyKywdNm,normalized,해외진출,해외진출,76
plcyKywdNm,normalized,대출,대출,58
plcyKywdNm,normalized,출산,출산,58
plcyKywdNm,normalized,금리혜택,금리혜택,56
plcyKywdNm,normalized,육아,육아,55
plcyKywdNm,normalized,청년가장,청년가장,36
plcyKywdNm,normalized,공공임대주택,공공임대주택,25
plcyKywdNm,normalized,신용회복,신용회복,13
plcyKywdNm,normalized,UNKNOWN,UNKNOWN,2
